Unit: nm2,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08,CANL,CANR,CEPshDL,CEPshDR,CEPshVL,CEPshVR,GLRDL,GLRDR,GLRL,GLRR,GLRVL,GLRVR,excgl
ADFL,"0, 0, 0, 0, 0, 0","136260, 92288, 112440, 252120, 170640, 302899.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","304980, 618816, 270720, 390600, 528960, 725606.4","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 41760, 0, 0","177060, 191552, 93060, 634620, 121680, 168038.4","209220, 40320, 0, 37680, 341040, 0","15360, 0, 3540, 0, 0, 0","0, 0, 0, 0, 0, 0","138000, 687296, 450900, 458580, 1050960, 950476.8","0, 0, 0, 0, 0, 0","0, 0, 0, 9960, 48360, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 13080, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","672840, 909952, 1076640, 496620, 2141160, 2145331.2","14580, 62720, 9180, 48540, 415800, 145152","0, 0, 0, 0, 0, 0","426060, 842048, 460920, 700020, 1526760, 2356377.6","0, 0, 0, 0, 0, 0","568860, 1174592, 940860, 978060, 2310960, 1790515.2","0, 57088, 19020, 142260, 62160, 29184","21480, 0, 2760, 27300, 0, 0","20460, 34752, 0, 0, 3120, 0","0, 0, 0, 0, 0, 0","79680, 0, 0, 0, 30240, 45465.6","24420, 103360, 13740, 108780, 9480, 441907.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","39420, 7616, 27660, 71820, 57840, 62054.4","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","541380, 664768, 500940, 907320, 822600, 1589452.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","25500, 7744, 38880, 46740, 1560, 0","0, 0, 0, 0, 0, 0","0, 43008, 15660, 237960, 249360, 97689.6","0, 0, 0, 0, 0, 0","165540, 180992, 148080, 131820, 268440, 388915.2","0, 0, 0, 0, 0, 0","55380, 124992, 105060, 123360, 116880, 39782.4","31140, 114112, 20640, 14760, 24600, 175564.8","0, 0, 0, 0, 0, 0","300, 0, 48840, 0, 8040, 35635.2","1105500, 1442624, 594000, 568800, 885240, 495206.4","44100, 5632, 0, 0, 7200, 0","1211040, 1781632, 1070340, 1932840, 3119280, 2867712","8100, 2240, 27480, 112260, 104880, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","43800, 220608, 85080, 39720, 123960, 210278.4","0, 0, 0, 0, 0, 0","17040, 0, 0, 0, 0, 0","0, 0, 0, 76740, 0, 0","0, 0, 0, 0, 0, 0","900, 0, 0, 0, 0, 1996.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","150660, 320, 88680, 20760, 148080, 20889.6","0, 7424, 0, 23760, 99720, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","153720, 447552, 235320, 517620, 1490280, 1975603.2","0, 0, 0, 0, 0, 0","129360, 148608, 25800, 138180, 152520, 140390.4","0, 0, 19200, 0, 0, 0","0, 53696, 113820, 83880, 238440, 342681.6","0, 0, 0, 0, 2160, 0","0, 0, 0, 24600, 157560, 300595.2","0, 0, 0, 0, 0, 0","28080, 62656, 16620, 0, 80520, 103065.6","0, 0, 2820, 123120, 0, 17049.6","0, 0, 0, 23880, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","802200, 992192, 401940, 1175940, 1007520, 1160140.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","25260, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 159104, 202260, 1620, 323760, 546508.8","0, 0, 0, 0, 0, 0","0, 183168, 0, 0, 85680, 0","0, 0, 0, 0, 0, 0","0, 40896, 67260, 33600, 321480, 377702.4","0, 0, 0, 1380, 0, 0","52380, 250240, 333360, 190980, 817200, 833433.6","0, 0, 0, 0, 0, 0","320640, 700800, 498060, 720960, 1216320, 1330636.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 780, 24240, 0, 219801.6","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","297960, 1078144, 353100, 386760, 1711200, 1475328","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 10176, 480, 20460, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 9960, 0, 0","0, 0, 0, 0, 0, 0","28920, 0, 0, 0, 0, 13824","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 2160, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0"
ADFR,"136260, 92288, 112440, 252120, 170640, 302899.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 121036.8","0, 0, 0, 0, 0, 0","129060, 872000, 469200, 226320, 2348520, 812390.4","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 33360, 0, 0","12840, 188416, 15960, 2520, 123960, 657715.2","456780, 363200, 110040, 449340, 395760, 264499.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 49024, 0, 0, 0, 2764.8","108480, 307968, 482220, 144900, 1307400, 993484.8","0, 0, 0, 0, 0, 0","0, 640, 0, 24720, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 28440, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 72420, 84780, 0, 3379.2","688140, 1038848, 925860, 1130700, 2287920, 2527180.8","0, 0, 0, 57840, 0, 91084.8","0, 0, 0, 0, 0, 0","355560, 699648, 600660, 181680, 2013240, 1747046.4","8640, 0, 73320, 68880, 0, 0","720780, 944576, 987240, 1164840, 2277120, 2606899.2","0, 25408, 0, 0, 0, 2918.4","0, 0, 0, 11280, 0, 109977.6","540, 25088, 0, 3420, 5040, 0","0, 0, 8880, 0, 0, 0","108300, 25600, 210600, 81480, 15960, 148224","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 16320, 0","0, 0, 0, 0, 0, 0","8100, 37632, 19980, 0, 170160, 2611.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","5340, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","459180, 675904, 500700, 1104780, 822960, 1514188.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 82304, 6420, 5760, 54000, 4300.8","0, 0, 0, 0, 0, 0","17820, 8064, 43680, 112320, 299160, 84019.2","0, 0, 0, 0, 0, 0","237000, 215040, 109200, 161280, 101760, 216729.6","48780, 0, 17880, 58380, 0, 203520","40800, 42496, 107340, 252840, 0, 164966.4","0, 94144, 16500, 0, 42960, 61593.6","0, 0, 1800, 0, 0, 222873.6","0, 0, 0, 0, 0, 0","528300, 853568, 616860, 236520, 691320, 640512","34320, 4544, 133920, 56940, 0, 48537.6","1993560, 1587840, 1207500, 1984260, 2399640, 2725171.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","35580, 96320, 148680, 103440, 100320, 296448","4140, 0, 0, 0, 0, 0","53940, 0, 0, 0, 7560, 0","10140, 0, 0, 5580, 0, 0","0, 0, 0, 0, 0, 47155.2","0, 0, 0, 0, 8400, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 63960, 0, 0, 0","32340, 20032, 48300, 26160, 135000, 16896","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","307680, 299904, 239040, 590400, 1482000, 1574092.8","0, 0, 8100, 0, 0, 0","104640, 112192, 89400, 268920, 333600, 308121.6","0, 0, 0, 0, 0, 65587.2","0, 3904, 19560, 196500, 37680, 198758.4","0, 0, 0, 0, 0, 0","0, 0, 0, 91500, 498960, 506112","81480, 48000, 21360, 0, 142200, 75878.4","0, 0, 0, 0, 0, 0","0, 0, 0, 26040, 3000, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","474540, 984768, 609720, 990360, 953160, 1085030.4","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 41520, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","89040, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 127936, 30000, 0, 160320, 481996.8","0, 0, 0, 0, 0, 0","0, 0, 85260, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 107904, 40140, 180960, 0, 309964.8","0, 0, 0, 0, 0, 0","21300, 168832, 521400, 25320, 792960, 802252.8","0, 0, 0, 0, 0, 0","244080, 824512, 537600, 288780, 1950480, 1040947.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 3840, 71731.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 9720, 0","0, 0, 0, 0, 0, 0","463620, 634112, 415920, 457920, 1158840, 1020057.6","0, 0, 18720, 0, 12720, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 2880, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 20280, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","3540, 0, 0, 40800, 0, 0","0, 0, 0, 0, 0, 107673.6","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 18960, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0"
ADLL,"0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","111780, 247360, 154320, 81420, 447360, 476620.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","21420, 0, 1560, 0, 7440, 9676.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 10200, 0","71040, 282496, 385140, 47640, 1480920, 1727078.4","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 8908.8","0, 0, 0, 0, 0, 0","58620, 312384, 183960, 321120, 1109880, 939724.8","0, 0, 0, 0, 0, 0","120840, 478464, 273540, 105120, 163200, 115660.8","49980, 0, 0, 0, 45360, 18892.8","184920, 9536, 188640, 62940, 131280, 25344","0, 0, 0, 8700, 5640, 0","1167480, 1772800, 1110120, 1497240, 1890120, 1569792","173100, 109312, 172260, 259980, 26880, 959232","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","188760, 542336, 456360, 433500, 1694640, 1837363.2","0, 0, 0, 0, 0, 0","10920, 212416, 183000, 338460, 899640, 1112678.4","0, 0, 0, 0, 0, 0","611400, 1128320, 659760, 838380, 1314120, 1273958.4","11880, 0, 489300, 660, 288480, 1449369.6","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 20352, 0, 21000, 67440, 105369.6","0, 0, 0, 0, 0, 0","10860, 111552, 47460, 112380, 74280, 116889.6","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","20220, 65984, 65880, 112020, 59640, 191539.2","0, 0, 0, 0, 0, 0","10860, 13376, 33360, 28740, 49560, 64204.8","0, 0, 0, 0, 0, 0","0, 31488, 4740, 68160, 102360, 19507.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","43860, 0, 0, 3180, 0, 11827.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","30000, 0, 0, 240, 0, 2150.4","0, 0, 0, 0, 0, 0","11880, 2496, 0, 2040, 18480, 2764.8","0, 0, 0, 0, 0, 0","18780, 16704, 8220, 26820, 38640, 8140.8","0, 0, 0, 0, 0, 0","0, 94912, 48900, 16620, 58320, 60211.2","0, 0, 0, 0, 0, 0","38160, 91648, 217200, 195300, 349920, 564633.6","0, 0, 0, 0, 0, 0","236940, 224704, 228960, 627420, 415800, 721920","780, 50816, 0, 0, 5280, 35788.8","309300, 394688, 225120, 305040, 925680, 1306982.4","0, 0, 0, 0, 0, 0","0, 0, 0, 47100, 120, 0","0, 0, 0, 0, 0, 0","0, 0, 7080, 0, 4080, 39014.4","0, 0, 0, 0, 0, 0","0, 0, 8040, 0, 3600, 2457.6","0, 0, 0, 0, 0, 0","0, 25088, 70380, 222840, 143160, 1175654.4","0, 0, 0, 0, 0, 77414.4","0, 14592, 480, 0, 159480, 118425.6","0, 0, 15300, 0, 5880, 4608","34680, 86144, 56040, 105000, 96600, 82944","0, 136640, 95880, 104820, 699480, 842342.4","14520, 0, 0, 0, 0, 23347.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 17344, 33060, 0, 515400, 518707.2","0, 0, 0, 70440, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 53220, 1020, 28560, 326092.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 100608","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 17049.6","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","48780, 18752, 4560, 32760, 38520, 57907.2","0, 0, 0, 0, 0, 0","75900, 17664, 2040, 31800, 23880, 24883.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","900, 0, 26160, 0, 480, 3379.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","2100, 5952, 28680, 10260, 34440, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","129000, 452224, 351420, 401460, 1463400, 1102848","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 10598.4","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 420, 0, 0","0, 0, 0, 0, 0, 0","1740, 0, 32580, 0, 0, 2457.6","0, 0, 0, 0, 0, 0","310200, 759232, 280800, 367980, 916680, 1116672","0, 0, 0, 0, 0, 229939.2","0, 0, 0, 0, 138840, 11366.4","0, 32448, 0, 0, 83040, 72192","0, 49536, 80220, 167460, 379560, 299212.8","37980, 86976, 118740, 144360, 201120, 132249.6","0, 114880, 47880, 360, 513600, 273100.8","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 10880, 0, 0, 1320, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","396300, 326976, 322800, 752580, 516960, 1128499.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 2280, 0, 0","0, 0, 0, 0, 0, 0","37200, 275456, 50220, 17160, 78720, 194304","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 9120, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 202816, 0, 29280, 118320, 242995.2","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0"
